grid,velocity,spread_rate,lambda,T,density,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0.0,2.239611194807592,-1.881830828669637e-18,-44.829520934034676,373.0,0.053580728779268935,0.16666666666526037,0.0,4.8001766738474474e-17,0.1041666666668626,2.9721917366108665e-17,2.599489436267359e-18,0.0,0.0,0.7291666666678769,0.0
0.00375,2.234357735310859,1.40092252918922,-44.829520934034676,373.0000000000011,0.05358072877956254,0.16666666666037713,0.0,4.648785099483327e-17,0.10416666666754301,4.066057313673078e-18,3.048499313119257e-17,0.0,0.0,0.7291666666720797,0.0
0.0075,2.2185973568029698,2.8018450583799064,-44.829520934034676,373.0000000000102,0.053580728780872694,0.16666666663857746,7.657048213840112e-18,4.526736484143484e-17,0.10416666667058042,7.065969188099986e-19,3.57580440969293e-17,1.2403358161746616e-16,0.0,0.729166666690842,0.0
0.01125,2.1923300591411596,4.202767587571035,-44.829520934034676,373.00000000008686,0.05358072878668414,0.1666666665417918,8.463378314634469e-17,4.638452840379086e-17,0.10416666668406492,2.7539892534882374e-19,4.1274490266386e-17,1.4793816246207365e-15,0.0,0.7291666667741415,0.0
0.015,2.155555841713209,5.603690116744707,-44.829520934034676,373.0000000007221,0.053580728812206296,0.1666666661160272,1.0225206522192404e-15,6.818666757496909e-17,0.10416666674337581,3.1988646298183403e-19,8.297322082336564e-17,1.5214322780982785e-14,0.0,0.7291666671405806,0.0
0.01875,2.108274701952378,7.004612645774976,-44.829520934034676,373.000000005814,0.05358072892268867,0.16666666426734353,1.2425462989550251e-14,2.7230273096066954e-16,0.10416666700083399,1.2618077969792002e-18,5.29940772166679e-16,1.4310878949799185e-13,0.0,0.729166668731666,0.0
0.020624999999999998,2.0806940322405336,7.705073910094686,-44.829520934034676,373.00000002099586,0.05358072911243578,0.16666666107693676,6.566242082107743e-14,9.65775837173088e-16,0.10416666744496304,4.509213629289064e-18,2.408655546303012e-15,5.370874337782783e-13,0.0,0.7291666714774941,0.0
0.0225,2.050486621230422,8.405535173808937,-44.829520934034676,373.00000008628,0.05358072960455693,0.1666666527404666,3.0820647342933517e-13,4.247603005750698e-15,0.10416666860458902,1.9956479120940703e-17,1.3560108957674301e-14,2.3956425968008515e-12,4.369983328197119e-17,0.7291666786522228,0.0
0.024375,2.017652451649658,9.105996435691742,-44.829520934034676,373.000000361773,0.0535807308636219,0.16666663115266037,1.4288926546564906e-12,1.9584041793361724e-14,0.10416667160348966,9.358949456549657e-17,7.907924972444158e-14,1.1025106911276311e-11,4.899108255114432e-16,0.7291666972312968,0.0
0.02625,1.9821914819380817,9.80645769227898,-44.829520934034676,373.0000014996161,0.05358073402990627,0.16666657579923289,6.600199044026306e-12,9.035431020520117e-14,0.10416667927491058,4.58188692475174e-16,4.593446733095424e-13,5.032293211072034e-11,3.490259183069202e-15,0.7291667448683796,1.977625946770839e-71
0.028124999999999997,1.9441036153329634,10.506918934338476,-44.829520934034676,373.0000060800156,0.05358074181762723,0.16666643538905618,3.039205288645337e-11,4.1252643680612867e-13,0.10416669865626646,2.5188483271459776e-15,2.635741536098001e-12,2.241674863395729e-10,2.3339501983025123e-14,0.7291668656970437,2.02487786227283e-70
0.03,1.9033886363629775,11.207380139180184,-44.829520934034676,373.0000239468321,0.053580760422378346,0.16666608336978958,1.394877768831627e-10,1.8577104832171573e-12,0.10416674693110042,1.7792713886218846e-14,1.4895513880452698e-11,9.592824089432276e-10,1.5214264949884122e-13,0.7291671685834167,8.384865347673242e-70
0.031875,1.8600460933909784,11.907841258210688,-44.829520934034676,373.0000909041751,0.05358080320025617,0.16666521194610862,6.37938043275849e-10,8.237029101166129e-12,0.10416686530187774,1.6682428069675833e-13,8.268786323124293e-11,3.8429788598793985e-09,9.669127206517564e-13,0.729167918179038,1.7943587515157043e-69
0.0328125,1.8373891526367219,12.258071788467253,-44.829520934034676,373.0001884398629,0.053580843693394574,0.16666430505459556,1.5509430158923007e-09,1.940827566900361e-11,0.10416698734047129,7.757355506254702e-13,2.285846254779926e-10,7.877759207220807e-09,2.9295969780883324e-12,0.7291686979245326,0.0
0.03375,1.8140748517793286,12.608302296248862,-44.829520934034676,373.00041388914093,0.053580904588694654,0.16666275235537137,3.6666861001989463e-09,4.88381176721297e-11,0.1041671934717124,3.710550320951387e-12,6.916172159888128e-10,1.737244933790911e-08,9.847068353032007e-12,0.7291700323797677,0.0
0.0346875,1.7901030922591163,12.958532836994278,-44.829520934034676,373.00092897645527,0.053580989366182406,0.16666010803690234,8.595153599728822e-09,1.2567776326640456e-10,0.10416753811762239,1.7991715318709545e-11,2.1419796862343853e-09,3.935406310637716e-08,3.3787001937623165e-11,0.7291723035768225,0.0
0.035625000000000004,1.765474125928342,13.30876359534858,-44.829520934034676,373.0020910849245,0.05358109110432102,0.1666556293323964,2.0070945125700322e-08,3.243686498168413e-10,0.10416810766888976,8.610794730878613e-11,6.611465441437341e-09,8.918728530720844e-08,1.1454021065198418e-10,0.7291761466040011,0.0
0.0365625,1.7401892133567174,13.65899505442472,-44.829520934034676,373.00467525076834,0.0535811717616636,0.16664808681767482,4.67314457439434e-08,8.323219610288134e-10,0.1041690370384593,3.9808526548845937e-10,2.0099115838132766e-08,1.986882304279254e-07,3.7716437483241374e-10,0.7291826090175023,0.0
